日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2019-11-27,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,1000,0,0,1000,常に集計に含める
2019-11-28,payment,エンタメ,書籍,カード,-,,,東武新越谷ヴァリエ,JPY,0,4158,0,0,4158,常に集計に含める
2019-11-28,payment,【現金】,食費,-,-,,,-,JPY,0,461,0,0,461,常に集計に含める
2019-11-28,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,500,0,0,500,常に集計に含める
2019-11-28,payment,食費,食費,カード,-,,,東急ストア,JPY,0,1464,0,0,1464,常に集計に含める
2019-11-28,payment,食費,食費,カード,-,,,サンドラツグ,JPY,0,371,0,0,371,常に集計に含める
2019-11-30,balance,-,-,-,カード,,,-,JPY,0,0,0,167687,167687,常に集計に含める
2019-11-30,payment,【現金】,食費,-,-,,,-,JPY,0,1159,0,0,1159,常に集計に含める
2019-11-30,payment,食費,食費,カード,-,,,セブンイレブン,JPY,0,380,0,0,380,常に集計に含める
2019-11-30,payment,エンタメ,レンタル,カード,-,,,"ユーネクストサービス 利用料 ユーネクストサービスリヨウリヨウ",JPY,0,2189,0,0,2189,常に集計に含める
