日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2019-12-02,income,交際費,-,-,お財布,,あき　カラオケ,-,JPY,2600,0,0,0,2600,常に集計に含める
2019-12-02,transfer,-,-,銀行,お財布,,,"ATM から現金引出",JPY,0,0,10000,0,10000,集計に含めない
2019-12-02,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,110,0,0,110,常に集計に含める
2019-12-02,payment,【現金】,食費,-,-,,,-,JPY,0,626,0,0,626,常に集計に含める
2019-12-02,income,交際費,-,-,-,,020　わらわら,-,JPY,2000,0,0,0,2000,常に集計に含める
2019-12-02,payment,交通費,交通費,カード,-,,,"海外利用 1 SUICA MOBILE PAYMENT 利用国JPN",JPY,0,200,0,0,200,常に集計に含める
2019-12-02,payment,エンタメ,イベント,カード,-,,,"マネキネコ キタコシガヤテン",JPY,0,5280,0,0,5280,常に集計に含める
2019-12-02,payment,交際費,外食,カード,-,,,笑笑053南越谷南口駅前店,JPY,0,4219,0,0,4219,常に集計に含める
2019-12-03,payment,【現金】,食費,-,-,,,-,JPY,0,561,0,0,561,常に集計に含める
2019-12-04,payment,【現金】,食費,-,-,,,-,JPY,0,659,0,0,659,常に集計に含める
2019-12-04,payment,食費,食費,カード,-,,,ファミリーマート,JPY,0,308,0,0,308,常に集計に含める
2019-12-04,payment,日用品,日用品,カード,-,,"スノボ スプレー、曇り止め","MIO イオンレイクタウンアウトレツト",JPY,0,4708,0,0,4708,常に集計に含める
2019-12-04,payment,交際費,外食,カード,-,,,"MIO イオンレイクタウンアウトレツト",JPY,0,1272,0,0,1272,常に集計に含める
2019-12-05,income,報酬,-,-,銀行,,,"振込 セリザワ レナ",JPY,93000,0,0,0,93000,常に集計に含める
2019-12-05,payment,食費,食費,カード,-,,,東急ストア,JPY,0,425,0,0,425,常に集計に含める
2019-12-06,payment,【現金】,水道,銀行,-,,,水道料金,JPY,0,4060,0,0,4060,常に集計に含める
2019-12-06,payment,【現金】,医療費,銀行,-,,,"送金 ENET",JPY,0,1688,0,0,1688,常に集計に含める
2019-12-06,payment,【現金】,手数料,銀行,-,,,手数料,JPY,0,220,0,0,220,常に集計に含める
